name,city,wiki,birth_date
Balogh Miklós,Porcsalma,https://hu.wikipedia.org/wiki/Porcsalma,1914.01.01
Balogh Norbert,Hajdúböszörmény,https://hu.wikipedia.org/wiki/Hajdúböszörmény,1996.02.21
Balogh Sándor,Gyón,https://hu.wikipedia.org/wiki/Gyón,1920.03.18
Balogh Tamás,Budapest,https://hu.wikipedia.org/wiki/Budapest,1967.09.06
Bánfi János,Újkígyós,https://hu.wikipedia.org/wiki/Újkígyós,1969.11.09
Bánkuti István,Budafok,https://hu.wikipedia.org/wiki/Budafok,1946.11.12
Bányai Nándor,Budapest,https://hu.wikipedia.org/wiki/Budapest,1928.03.08
Baranyi Miklós,Oroszlány,https://hu.wikipedia.org/wiki/Oroszlány,1969.09.06
Baranyi Sándor,Győr,https://hu.wikipedia.org/wiki/Győr,1953.08.14
Bárányos Zsolt,Budapest,https://hu.wikipedia.org/wiki/Budapest,1975.12.15
Baráth Botond,Budapest,https://hu.wikipedia.org/wiki/Budapest,1992.04.21
Baráth Péter,Kisvárda,https://hu.wikipedia.org/wiki/Kisvárda,2002.02.21
Barátky Gyula,Nagyvárad,https://hu.wikipedia.org/wiki/Nagyvárad,1910.10.18
Bárd István,Fiume,https://hu.wikipedia.org/wiki/Fiume,1882.08.19
Baróti Lajos,Barót,https://hu.wikipedia.org/wiki/Barót,1914.08.19
Bartos Béla,Budapest,https://hu.wikipedia.org/wiki/Budapest,1902.04.04
Baubach Béla,Újpest,https://hu.wikipedia.org/wiki/Újpest,1895.04.03
Bayer Jenő,Budapest,https://hu.wikipedia.org/wiki/Budapest,1884.11.17
Becsei József,Budapest,https://hu.wikipedia.org/wiki/Budapest,1950.10.10
Béky Bertalan,Budapest,https://hu.wikipedia.org/wiki/Budapest,1913.08.29
Bencsics József,Szombathely,https://hu.wikipedia.org/wiki/Szombathely,1933.07.19
Bene Ferenc,Balatonújlak,https://hu.wikipedia.org/wiki/Balatonújlak,1944.12.17
Beneda István,Budapest,https://hu.wikipedia.org/wiki/Budapest,1904.02.04
Berán József,Budapest,https://hu.wikipedia.org/wiki/Budapest,1883.11.05
Bérczy Balázs,Pécs,https://hu.wikipedia.org/wiki/Pécs,1966.01.15
Berecz István,?,,1913.12.10
